"event-id","visible","timestamp","location-long","location-lat","gps:hdop","gps:satellite-count","sensor-type","individual-taxon-canonical-name","tag-local-identifier","individual-local-identifier","study-name","GlobCover 2009 2009 Land-Cover Classification"
"3942427107","true","2016-11-27 00:00:00.000","-96.23857","28.88294","8.3","4","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427108","true","2016-11-30 00:00:00.000","-96.23868","28.88329","1.1","6","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427109","true","2016-12-03 00:00:00.000","-96.23867","28.88313","3.0","4","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427110","true","2016-12-06 00:00:00.000","-96.23874","28.88307","1.2","5","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427111","true","2016-12-09 00:00:00.000","-96.23883","28.88297","4.9","5","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427112","true","2016-12-12 00:00:00.000","-96.23864","28.88306","2.3","6","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427113","true","2016-12-15 00:00:00.000","-96.2386","28.8833","2.6","5","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427114","true","2016-12-18 00:00:00.000","-96.23875","28.88312","2.9","6","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427115","true","2016-12-21 00:00:00.000","-96.23858","28.88308","2.6","5","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427116","true","2016-12-24 00:00:00.000","-96.23869","28.88323","5.5","5","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427117","true","2016-12-27 00:00:00.000","-96.23927","28.88169","2.1","6","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427118","true","2016-12-30 00:00:00.000","-96.23863","28.88326","1.5","6","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427119","true","2017-01-05 00:00:00.000","-96.23854","28.88325","1.5","6","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427120","true","2017-01-08 00:00:00.000","-96.23857","28.88316","1.2","6","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427121","true","2017-01-14 00:00:00.000","-96.23869","28.8832","1.5","5","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427122","true","2016-07-01 00:00:00.000","-76.99222","38.94119","2.3","5","gps","","3","2671-02002","grcaMigration-Ryder","70"
"3942427123","true","2016-07-13 00:00:00.000","-76.99231","38.9412","1.2","8","gps","","3","2671-02002","grcaMigration-Ryder","70"
